username,title,subscribers,avg_views,avg_reactions,avg_comments,avg_forwards,posts_per_day,has_linked_chat,err,reach,bot_ratio,detected_category,preliminary_score,health_score
@news_prime_0535,Vivid Wire,5597,1676,32,12,8,32.4,True,3.11,29.95,0.099,news,62,58.3
@health_global_0536,Open Health,539,177,4,0,0,0.96,True,4.12,32.92,0.036,health,52,50.9
@news_peak_0537,Smart News,871,354,6,0,1,3.6,False,2.68,40.66,0.074,news,52,49.7
@business_peak_0538,Insider Market,5978,2124,22,9,5,11.2,True,1.74,35.54,0.058,business,57,55.0
@entertainment_core_0539,Quiet Vibes,12441,2644,103,18,23,0.01,True,5.35,21.26,0.046,entertainment,70,68.1
@entertainment_daily_0540,Insider Laughs,42170,994,15,2,5,0.56,True,2.53,2.36,0.475,entertainment,51.18,36.6
@business_daily_0541,Smart Ventures,87873,12977,141,38,23,2.44,True,1.72,14.77,0.012,business,72,71.5
@lifestyle_peak_0542,Peak Travel,25791,5954,67,15,19,25.4,True,1.6,23.09,0.016,lifestyle,60,59.4
@gaming_insider_0543,Quiet Arena,29094,3270,131,0,45,35.3,False,6.01,11.24,0.042,gaming,45,43.9
@tech_core_0544,Peak Tech,904,333,7,3,1,1.42,True,3.82,36.95,0.007,tech,67,66.7
@entertainment_prime_0545,Quiet Laughs,8579,2971,33,0,4,2.47,False,1.56,34.63,0.046,entertainment,57,55.4
@crypto_core_0546,Nova Crypto,1110,455,9,0,3,28.9,False,3.27,40.99,0.0,crypto,45,45.0
@business_urban_0547,Daily Money,9931,811,14,4,5,2.06,True,3.11,8.17,0.0,business,56.09,56.1
@news_core_0548,Open Digest,934,329,3,0,1,0.2,False,2.03,35.24,0.032,news,47,46.1
@business_insider_0549,Global Capital,8507,1432,44,0,16,2.04,False,5.11,16.84,0.092,business,57,53.9
@news_vivid_0550,Neon Digest,1705,674,17,0,5,2.35,False,4.05,39.55,0.0,news,60,60.0
@news_urban_0551,Neon Digest,4414,899,16,3,5,3.46,True,3.09,20.38,0.06,news,60,57.8
@business_prime_0552,Insider Capital,8492,3423,56,0,15,1.93,False,2.85,40.32,0.039,business,62,60.5
@education_urban_0553,Nova Learn,1534,519,10,3,2,1.17,True,3.05,33.88,0.1,education,70,65.8
@tech_nova_0554,Bright Code,19610,5353,194,70,57,1.19,True,5.36,27.3,0.039,tech,85,83.0
@politics_daily_0555,Insider Debate,4188,1124,28,0,10,2.37,False,4.6,26.85,0.036,politics,55,53.8
@education_insider_0556,Core Lessons,397,131,2,0,0,1.14,False,3.15,33.09,0.044,education,57,55.5
@lifestyle_neon_0557,Vivid Style,5839,1628,30,0,7,0.03,False,2.94,27.89,0.05,lifestyle,42,40.7
@business_open_0558,Smart Ventures,6296,1866,35,0,13,0.2,False,3.47,29.65,0.054,business,47,45.5
@education_nova_0559,Insider Learn,10962,2887,102,0,34,0.08,False,5.87,26.34,0.021,education,50,49.4
@entertainment_daily_0560,Daily Fun,3159,693,20,0,7,3.23,False,4.36,21.95,0.016,entertainment,50,49.5
@tech_daily_0561,Core Dev,913,350,5,2,1,2.61,True,2.9,38.4,0.072,tech,67,64.1
@lifestyle_bright_0562,Alpha Living,15813,2692,71,0,13,1.32,False,3.63,17.03,0.051,lifestyle,55,53.3
@gaming_core_0563,Alpha Games,10183,3178,81,26,13,1.63,True,4.09,31.21,0.104,gaming,85,79.7
@gaming_bright_0564,Nova Games,9113,2279,24,7,4,1.0,True,1.66,25.02,0.028,gaming,67,65.9
@tech_core_0565,Quiet Tech,8084,2633,47,0,6,2.72,False,2.47,32.58,0.086,tech,62,58.8
@education_insider_0566,Neon Course,14501,2593,22,7,3,0.57,True,1.33,17.89,0.098,education,60,56.5
@entertainment_daily_0567,Bright Laughs,20377,7702,205,43,52,0.04,True,4.07,37.8,0.043,entertainment,70,68.2
@business_smart_0568,Core Market,6204,2224,37,0,10,0.01,False,2.48,35.86,0.053,business,47,45.5
@health_insider_0569,Alpha Fit,14032,4053,2,0,1,0.88,True,0.11,28.88,0.054,health,37.2,36.0
@crypto_quiet_0570,Urban Crypto,220,81,2,0,1,1.4,True,6.37,37.09,0.021,crypto,62,61.2
@tech_alpha_0571,Bright Tech,1156,440,16,0,5,0.2,False,5.08,38.11,0.048,tech,55,53.4
@education_neon_0572,Alpha Lessons,296,74,0,0,0,0.2,True,0.64,25.31,0.096,education,32,30.2
@news_alpha_0573,Vivid Digest,2995,1233,21,0,8,0.95,False,2.93,41.18,0.045,news,55,53.5
@news_core_0574,Peak Report,286,125,2,0,1,2.62,False,3.58,43.76,0.038,news,57,55.7
@crypto_quiet_0575,Nova Crypto,1435,226,3,0,0,3.69,False,1.99,15.82,0.546,crypto,40,26.9
@business_daily_0576,Quiet Money,1116,357,10,0,1,0.52,False,4.6,32.01,0.087,business,55,52.1
@news_urban_0577,Global Wire,5602,1473,35,0,7,3.44,False,3.98,26.31,0.0,news,52,52.0
@music_core_0578,Insider Music,8601,2589,46,0,15,2.45,False,2.45,30.11,0.101,music,62,58.3
@sports_open_0579,Daily Sports,932,409,12,0,3,3.34,False,4.26,43.92,0.0,sports,52,52.0
@education_urban_0580,Nova Lessons,23264,6585,2,0,0,3.13,True,0.05,28.31,0.078,education,36.0,34.3
@anime_quiet_0581,Quiet Anime,1268,514,16,5,4,0.16,True,5.63,40.58,0.063,anime,60,57.7
@entertainment_bright_0582,Daily Laughs,2212,198,1,0,0,1.68,True,1.3,8.96,0.632,entertainment,39.48,24.5
@anime_urban_0583,Peak Sakura,4929,1682,10,2,1,1.8,True,0.85,34.14,0.032,anime,60,58.9
@gaming_insider_0584,Open Quest,589,162,7,2,2,0.11,True,6.8,27.66,0.01,gaming,52,51.7
@crypto_peak_0585,Vivid Crypto,4005,583,13,0,4,0.2,False,3.2,14.57,0.337,crypto,40,31.9
@politics_peak_0586,Prime Forum,21007,6605,218,0,63,3.28,False,5.1,31.44,0.071,politics,65,62.2
@news_open_0587,Bright Wire,134,45,0,0,0,1.75,True,3.5,33.94,0.072,news,57,54.6
@news_nova_0588,Alpha News,36858,7854,78,25,13,2.35,True,1.58,21.31,0.013,news,75,74.4
@news_prime_0589,Urban Digest,1028,443,18,0,2,0.2,False,5.59,43.13,0.065,news,55,52.8
@tech_open_0590,Neon Tech,2889,526,6,1,1,0.07,True,1.69,18.22,0.028,tech,40,39.3
@tech_open_0591,Open AI,549,127,0,0,0,2.06,True,0.69,23.17,0.021,tech,42,41.5
@news_alpha_0592,Open Digest,5923,2104,71,0,23,1.68,False,5.13,35.53,0.11,news,67,62.6
@entertainment_open_0593,Vivid Vibes,3167,1260,21,0,4,10.8,False,2.73,39.82,0.074,entertainment,45,43.0
@gaming_core_0594,Prime Quest,27855,5863,109,32,17,2.24,True,2.73,21.05,0.017,gaming,80,79.2
@news_alpha_0595,Core News,594,176,5,0,1,0.95,False,4.68,29.7,0.013,news,47,46.6
@tech_peak_0596,Nova Tech,5095,2109,55,12,17,2.64,True,3.88,41.4,0.01,tech,82,81.5
@music_global_0597,Alpha Sound,1163,283,5,0,1,2.35,False,2.38,24.34,0.02,music,55,54.3
@business_smart_0598,Quiet Market,93702,25494,667,272,153,1.25,True,4.45,27.21,0.0,business,82,82.0
@news_core_0599,Smart Report,155,48,2,0,0,0.52,False,8.17,31.43,0.017,news,57,56.4
@lifestyle_neon_0600,Urban Home,4976,1844,19,0,7,0.19,False,1.66,37.08,0.074,lifestyle,40,38.2
@lifestyle_global_0601,Vivid Travel,26266,7037,141,0,46,2.81,False,3.06,26.79,0.03,lifestyle,60,58.9
@gaming_prime_0602,Quiet Games,8909,3100,64,16,23,1.15,True,3.65,34.8,0.058,gaming,82,79.1
@tech_quiet_0603,Quiet Tech,7169,2471,31,8,10,0.65,True,1.98,34.48,0.125,tech,67,62.0
@politics_peak_0604,Open Forum,2746,496,14,0,3,0.74,False,4.34,18.09,0.0,politics,45,45.0
@music_open_0605,Bright Tracks,793,270,2,0,0,2.08,False,1.31,34.06,0.088,music,52,49.3
@lifestyle_vivid_0606,Neon Style,529,160,5,1,0,0.77,True,4.33,30.28,0.029,lifestyle,62,60.9
@education_smart_0607,Neon Academy,20094,3477,170,69,53,2.25,True,8.08,17.31,0.038,education,80,78.2
@lifestyle_global_0608,Daily Style,68006,7533,193,47,61,3.48,True,3.45,11.08,0.006,lifestyle,72,71.7
@entertainment_vivid_0609,Daily Fun,1551,141,1,0,0,0.11,True,1.87,9.11,0.518,entertainment,24.56,16.9
@business_vivid_0610,Daily Market,11255,3543,141,34,28,1.66,True,5.87,31.49,0.073,business,90,86.1
@lifestyle_core_0611,Urban Style,1513,252,4,1,0,0.18,True,2.55,16.69,0.036,lifestyle,45,44.0
@education_insider_0612,Daily Course,28248,7704,115,19,40,1.43,True,2.15,27.27,0.038,education,80,78.2
@health_prime_0613,Bright Fit,11574,2858,47,14,7,0.73,True,2.56,24.7,0.059,health,75,72.3
@lifestyle_open_0614,Core Style,1468,466,8,0,1,0.19,False,2.78,31.8,0.065,lifestyle,45,43.2
@crypto_core_0615,Insider DeFi,3886,1301,46,12,9,2.5,True,6.02,33.5,0.06,crypto,85,81.9
@gaming_vivid_0616,Neon Arena,1916,657,5,1,1,0.77,True,1.16,34.34,0.009,gaming,60,59.7
@news_prime_0617,Alpha Report,1777,659,30,10,11,2.27,True,7.19,37.13,0.021,news,80,79.0
@gaming_quiet_0618,Vivid Esports,2521,278,1,0,0,3.78,True,0.97,11.06,0.424,gaming,35,26.1
@business_prime_0619,Peak Market,16173,6097,181,32,61,1.38,True,4.09,37.7,0.028,business,85,83.5
@lifestyle_global_0620,Open Travel,2164,555,10,0,3,2.41,False,2.55,25.69,0.018,lifestyle,55,54.4
@entertainment_prime_0621,Open Memes,1603,266,7,0,2,2.89,False,5.06,16.64,0.053,entertainment,55,53.3
@tech_urban_0622,Peak AI,196,73,1,0,0,2.72,False,2.53,37.39,0.0,tech,57,57.0
@gaming_insider_0623,Bright Esports,9792,3408,106,0,24,0.2,False,4.52,34.81,0.093,gaming,52,49.1
@news_quiet_0624,Quiet Digest,5716,1616,54,13,12,2.03,True,4.52,28.28,0.025,news,77,75.9
@tech_nova_0625,Core Dev,230,33,0,0,0,2.82,False,4.66,14.4,0.026,tech,47,46.3
@movies_neon_0626,Insider Cinema,45871,10291,221,53,59,0.82,True,2.87,22.44,0.028,movies,75,73.7
@music_smart_0627,Smart Beats,821,316,4,1,1,0.04,True,2.77,38.52,0.104,music,52,48.7
@anime_peak_0628,Neon Anime,23810,3701,46,0,14,1.43,False,1.94,15.55,0.056,anime,50,48.3
@lifestyle_prime_0629,Peak Style,6513,1410,51,12,9,2.2,True,5.01,21.66,0.047,lifestyle,82,79.7
@entertainment_open_0630,Open Laughs,40723,10914,90,0,24,1.5,False,1.32,26.8,0.0,entertainment,55,55.0
@politics_urban_0631,Core Forum,4274,163,1,0,0,4.82,True,1.56,3.84,0.555,politics,31.92,21.3
@entertainment_bright_0632,Quiet Vibes,3585,1205,34,7,6,2.81,True,4.03,33.64,0.011,entertainment,75,74.5
@entertainment_vivid_0633,Core Memes,9882,537,4,0,1,0.04,False,1.18,5.44,0.649,entertainment,24.72,15.1
@gaming_open_0634,Urban Esports,2973,1146,24,0,6,1.36,False,3.37,38.57,0.132,gaming,60,55.3
@entertainment_bright_0635,Daily Vibes,6807,2118,51,0,14,1.94,False,3.61,31.13,0.0,entertainment,62,62.0
@movies_vivid_0636,Nova Reel,12470,2949,0,0,0,0.73,False,0.05,23.65,0.056,movies,36.0,34.8
@health_vivid_0637,Quiet Care,11732,4648,60,0,11,2.08,False,1.86,39.63,0.081,health,60,57.1
@entertainment_daily_0638,Neon Laughs,444,233,10,2,2,1.98,True,7.14,52.63,0.0,entertainment,77,77.0
@business_daily_0639,Core Market,5725,1121,8,3,2,3.22,True,1.16,19.6,0.014,business,52,51.6
@tech_core_0640,Smart Code,33142,8252,96,0,24,3.17,False,1.79,24.9,0.011,tech,50,49.7
@education_peak_0641,Smart Lessons,862,338,8,0,1,1.94,False,4.35,39.26,0.036,education,57,55.8
@news_prime_0642,Prime Report,24836,3328,65,14,15,2.06,True,2.79,13.4,0.0,news,75,75.0
@news_open_0643,Vivid Report,690,167,2,0,0,0.14,True,2.32,24.35,0.062,news,37,35.6
@lifestyle_insider_0644,Neon Living,536,212,2,0,0,3.02,True,1.89,39.69,0.044,lifestyle,47,45.8
@tech_prime_0645,Prime Dev,7444,2516,107,0,18,0.87,False,6.59,33.81,0.017,tech,62,61.4
@news_daily_0646,Core Digest,54995,17052,622,166,130,1.08,True,5.41,31.01,0.045,news,92,89.5
@business_global_0647,Quiet Ventures,2894,583,15,3,4,31.6,True,3.94,20.16,0.072,business,50,47.8
@news_alpha_0648,Quiet Wire,5508,1527,40,12,12,1.68,True,4.46,27.74,0.087,news,77,73.0
@music_prime_0649,Prime Sound,6437,2966,149,43,36,0.49,True,6.82,46.09,0.079,music,77,73.3
@news_alpha_0650,Quiet Wire,2287,893,20,0,3,0.01,False,3.17,39.08,0.043,news,45,43.8
@entertainment_peak_0651,Prime Laughs,1796,592,12,0,4,0.64,False,2.94,32.98,0.027,entertainment,55,54.1
@crypto_core_0652,Prime Coins,1611,421,6,2,1,1.34,True,2.86,26.15,0.061,crypto,65,62.6
@news_nova_0653,Insider Report,5528,337,0,0,0,0.03,False,0.02,6.1,0.588,news,10.45,6.8
@tech_neon_0654,Urban Dev,4497,364,4,0,1,2.51,False,2.21,8.1,0.561,tech,44.05,29.2
@gaming_vivid_0655,Quiet Games,3218,1013,7,0,2,2.33,False,1.08,31.49,0.091,gaming,55,52.0
@crypto_nova_0656,Quiet Coins,1417,581,16,0,3,1.73,False,4.33,41.05,0.061,crypto,60,57.8
@news_urban_0657,Prime Wire,4764,972,26,0,5,0.8,False,4.15,20.41,0.003,news,50,49.9
@entertainment_nova_0658,Alpha Laughs,2275,678,27,0,7,19.6,False,6.33,29.83,0.086,entertainment,45,42.7
@politics_prime_0659,Alpha Politics,1377,587,9,3,3,0.97,True,2.95,42.7,0.073,politics,65,62.2
@entertainment_neon_0660,Prime Fun,2565,645,18,0,6,0.2,False,4.78,25.15,0.063,entertainment,45,43.3
@politics_global_0661,Global Policy,10605,2892,114,0,27,0.49,False,5.66,27.28,0.075,politics,55,52.5
@crypto_daily_0662,Open Coins,7485,2729,15,3,2,2.75,True,0.91,36.47,0.037,crypto,62,60.6
@news_smart_0663,Bright Digest,6178,2034,56,0,16,0.67,False,4.79,32.93,0.052,news,57,55.2
@news_daily_0664,Smart News,6581,3046,48,21,9,1.17,True,2.81,46.3,0.092,news,82,77.5
@education_nova_0665,Insider Lessons,14287,6667,351,0,101,1.81,False,7.14,46.67,0.01,education,70,69.6
@tech_insider_0666,Daily AI,4871,1499,20,0,4,0.92,False,1.88,30.79,0.099,tech,50,47.0
@business_global_0667,Quiet Capital,949,282,6,1,2,31.0,True,3.35,29.76,0.059,business,47,45.3
@health_core_0668,Prime Wellness,480,160,7,1,2,3.2,True,6.45,33.37,0.084,health,67,63.6
@business_core_0669,Open Capital,2307,877,21,0,3,2.89,False,3.43,38.05,0.053,business,60,58.1
@music_urban_0670,Urban Beats,28142,6192,162,0,47,0.2,False,3.82,22.01,0.024,music,50,49.3
@news_smart_0671,Open Wire,1166,451,9,0,2,0.1,False,3.18,38.74,0.044,news,45,43.8
@entertainment_bright_0672,Vivid Memes,430,130,5,0,1,1.51,False,5.63,30.36,0.053,entertainment,62,60.0
@news_vivid_0673,Quiet Report,140,46,1,0,0,1.17,True,7.01,33.54,0.033,news,62,60.8
@sports_daily_0674,Open Match,6007,1583,44,7,15,3.22,True,3.84,26.37,0.009,sports,67,66.6
@education_alpha_0675,Core Academy,2544,187,2,0,0,1.14,False,2.19,7.39,0.596,education,43.69,28.1
@lifestyle_peak_0676,Daily Home,370,115,2,0,0,0.18,False,3.94,31.12,0.053,lifestyle,42,40.7
@health_vivid_0677,Quiet Fit,1091,389,10,0,2,2.2,False,3.94,35.7,0.028,health,60,59.0
@business_daily_0678,Smart Ventures,355,100,2,1,1,0.2,True,4.85,28.37,0.045,business,52,50.6
@tech_quiet_0679,Quiet Code,21299,8353,109,29,31,2.66,True,2.28,39.22,0.071,tech,85,81.4
@anime_nova_0680,Insider Sakura,1012,390,14,0,2,2.54,False,5.62,38.56,0.016,anime,65,64.4
@entertainment_peak_0681,Quiet Memes,2483,1062,24,7,7,3.19,True,3.92,42.79,0.122,entertainment,70,64.9
@business_bright_0682,Vivid Market,20604,4498,126,17,41,1.55,True,3.87,21.83,0.092,business,80,75.6
@crypto_insider_0683,Quiet Chain,540,213,7,3,1,0.2,True,6.36,39.48,0.0,crypto,62,62.0
@music_vivid_0684,Smart Sound,34055,4339,15,0,3,0.89,False,0.52,12.74,0.616,music,40,25.2
@news_prime_0685,Prime Report,2244,790,24,0,7,2.25,False,5.6,35.21,0.066,news,65,62.4
@news_daily_0686,Urban News,111,9,0,0,0,2.02,False,1.11,8.63,0.784,news,36.32,19.2
@health_quiet_0687,Insider Wellness,21337,3787,42,9,11,0.17,True,1.69,17.75,0.029,health,50,49.1
@crypto_neon_0688,Bright DeFi,3035,1060,18,0,6,1.56,False,2.8,34.94,0.074,crypto,60,57.3
@anime_vivid_0689,Bright Anime,2588,818,36,0,13,16.2,False,7.43,31.62,0.0,anime,50,50.0
@tech_bright_0690,Insider Dev,10573,3621,61,9,15,0.06,True,2.42,34.25,0.0,tech,65,65.0
@lifestyle_nova_0691,Quiet Home,2415,1034,20,0,6,1.03,False,3.37,42.84,0.035,lifestyle,60,58.7
@education_daily_0692,Urban Course,1300,407,11,0,3,2.54,False,4.21,31.33,0.079,education,60,57.2
@entertainment_vivid_0693,Nova Laughs,2342,912,26,6,5,0.32,True,4.21,38.96,0.036,entertainment,65,63.6
@entertainment_prime_0694,Alpha Fun,3847,697,16,7,4,0.98,True,4.32,18.13,0.059,entertainment,60,57.9
@sports_vivid_0695,Bright Arena,152,56,1,0,0,1.7,True,5.67,36.94,0.129,sports,62,57.2
@news_smart_0696,Bright Wire,5912,1664,13,2,4,2.8,True,1.3,28.16,0.0,news,62,62.0
@health_global_0697,Insider Care,1620,430,13,3,3,2.16,True,4.72,26.58,0.0,health,65,65.0
@business_urban_0698,Nova Money,2299,712,17,0,4,21.1,False,4.42,31.01,0.055,business,45,43.5
@entertainment_global_0699,Quiet Memes,1032,59,0,0,0,2.51,False,1.76,5.81,0.606,entertainment,37.91,24.1
@entertainment_core_0700,Alpha Vibes,1084,350,3,0,0,1.94,False,1.45,32.33,0.105,entertainment,55,51.5
@entertainment_bright_0701,Daily Memes,802,271,4,1,1,0.02,True,2.38,33.85,0.087,entertainment,52,49.3
@lifestyle_daily_0702,Daily Living,910,297,5,2,1,0.06,True,3.07,32.68,0.081,lifestyle,52,49.5
@news_alpha_0703,Prime Wire,1007,421,4,0,1,1.11,False,1.71,41.88,0.121,news,55,51.0
@news_core_0704,Open News,3039,920,32,0,5,1.08,False,5.54,30.27,0.037,news,65,63.6
@politics_vivid_0705,Alpha Forum,2888,806,23,0,4,4.62,False,4.2,27.91,0.042,politics,50,48.7
@education_insider_0706,Daily Lessons,6082,2353,74,0,13,3.47,False,4.55,38.7,0.053,education,57,55.2
@gaming_smart_0707,Core Esports,52574,13435,308,0,94,1.22,False,3.08,25.55,0.107,gaming,62,58.0
@health_insider_0708,Alpha Fit,1474,533,7,0,2,1.28,False,2.42,36.21,0.103,health,60,56.3
@entertainment_urban_0709,Vivid Laughs,229801,85902,2476,0,673,1.89,False,4.19,37.38,0.014,entertainment,70,69.4
@gaming_neon_0710,Peak Quest,295,76,0,0,0,11.9,True,1.2,25.93,0.038,gaming,32,31.3
@news_insider_0711,Core Report,848,128,7,1,1,1.5,True,8.59,15.14,0.035,news,62,60.7
@entertainment_peak_0712,Alpha Memes,5206,477,1,0,0,0.9,False,0.4,9.17,0.809,entertainment,29.58,15.2
@education_open_0713,Alpha Academy,6032,1649,53,0,8,1.41,False,5.18,27.35,0.039,education,62,60.6
@health_open_0714,Peak Care,22605,8672,84,0,15,1.73,False,1.73,38.36,0.106,health,60,56.2
@music_vivid_0715,Nova Tracks,3521,815,13,3,4,4.04,True,2.25,23.17,0.0,music,60,60.0
@health_global_0716,Prime Fit,2588,768,26,6,10,1.52,True,6.01,29.7,0.056,health,75,72.5
@business_neon_0717,Daily Ventures,3219,1146,18,0,4,1.98,False,2.45,35.6,0.0,business,60,60.0
@entertainment_insider_0718,Global Laughs,4696,965,31,7,11,2.56,True,5.09,20.56,0.0,entertainment,75,75.0
@movies_peak_0719,Vivid Films,4055,1469,8,0,2,0.57,False,0.88,36.24,0.0,movies,45,45.0
@sports_daily_0720,Smart Arena,940,214,0,0,0,2.41,False,0.35,22.82,0.085,sports,39.0,37.0
@business_daily_0721,Alpha Capital,5276,1754,27,0,5,0.25,False,2.72,33.26,0.0,business,52,52.0
@politics_open_0722,Peak Forum,823,180,6,0,1,0.61,False,6.26,21.87,0.061,politics,52,50.1
@business_open_0723,Urban Ventures,49394,17483,622,0,216,2.23,False,5.07,35.4,0.036,business,70,68.5
@gaming_vivid_0724,Smart Quest,11785,3861,50,12,12,0.89,True,1.81,32.77,0.0,gaming,75,75.0
@news_core_0725,Urban Report,6114,2596,0,0,0,2.84,False,0.05,42.46,0.097,news,43.0,40.5
@health_insider_0726,Neon Care,758,106,1,0,0,3.79,True,1.57,14.03,0.546,health,37,24.9
@music_peak_0727,Vivid Sound,8421,2415,32,11,11,1.05,True,2.39,28.68,0.047,music,77,74.8
@lifestyle_core_0728,Neon Style,2339,813,27,5,7,2.83,True,5.68,34.8,0.0,lifestyle,75,75.0
@sports_daily_0729,Insider Sports,1407,484,12,0,4,1.83,False,4.25,34.45,0.122,sports,60,55.6
@tech_nova_0730,Bright Dev,3305,594,12,0,4,0.91,False,2.81,17.98,0.007,tech,45,44.8
@lifestyle_smart_0731,Prime Living,2300,684,23,0,9,0.62,False,6.33,29.76,0.032,lifestyle,55,54.0
@entertainment_open_0732,Peak Laughs,17111,3078,25,6,4,0.15,True,1.13,17.99,0.158,entertainment,50,45.3
@lifestyle_nova_0733,Bright Travel,35236,13550,288,70,67,2.72,True,3.24,38.46,0.127,lifestyle,85,78.5
@entertainment_quiet_0734,Global Fun,80881,25528,266,94,59,2.17,True,1.59,31.56,0.08,entertainment,82,78.1
@news_bright_0735,Nova Digest,4381,867,5,0,1,0.98,True,0.97,19.81,0.042,news,35,34.1
@business_urban_0736,Urban Market,25738,8487,33,13,13,0.2,True,0.65,32.98,0.052,business,65,63.0
@news_neon_0737,Global Wire,359581,74948,459,0,144,3.16,False,0.86,20.84,0.05,news,50,48.5
@business_prime_0738,Quiet Capital,1662,443,12,2,2,0.86,True,3.87,26.67,0.0,business,60,60.0
@crypto_neon_0739,Neon Coins,2796,862,27,0,5,1.21,False,5.22,30.86,0.15,crypto,65,59.1
@news_nova_0740,Global Digest,25078,3938,36,0,14,0.83,False,1.65,15.7,0.059,news,45,43.4
@news_core_0741,Global Digest,4834,1685,52,0,14,1.22,False,4.67,34.88,0.048,news,60,58.3
@lifestyle_quiet_0742,Insider Living,4492,796,19,6,6,0.14,True,3.97,17.73,0.034,lifestyle,50,49.0
@news_core_0743,Daily News,1342,347,6,0,1,1.86,False,3.11,25.91,0.0,news,55,55.0
@sports_peak_0744,Quiet Sports,17629,4269,156,35,25,0.75,True,5.17,24.22,0.07,sports,80,76.6
@music_nova_0745,Insider Sound,188,57,3,0,0,0.11,False,8.57,30.33,0.095,music,47,44.3
@anime_core_0746,Peak Sakura,12935,3687,34,15,11,2.16,True,1.67,28.51,0.075,anime,75,71.6
@sports_open_0747,Insider Arena,2943,792,16,0,5,1.68,False,3.4,26.94,0.036,sports,55,53.8
@entertainment_vivid_0748,Prime Vibes,8634,2763,10,0,2,1.69,False,0.61,32.01,0.067,entertainment,52,49.9
@crypto_smart_0749,Vivid Crypto,226,60,1,0,0,2.49,False,3.47,26.59,0.058,crypto,52,50.2
@music_prime_0750,Global Tracks,50844,11352,245,0,61,1.53,False,3.64,22.33,0.044,music,62,60.3
@gaming_insider_0751,Bright Arena,340,135,0,0,0,2.1,True,0.06,39.74,0.006,gaming,38.2,38.1
@lifestyle_bright_0752,Insider Style,363,92,2,0,0,2.52,False,3.11,25.44,0.058,lifestyle,52,50.2
@politics_vivid_0753,Global Policy,5918,747,0,0,0,13.8,True,0.05,12.63,0.023,politics,18.0,17.7
@entertainment_peak_0754,Vivid Fun,2265,780,1,0,0,0.14,False,0.25,34.46,0.0,entertainment,30.0,30.0
@tech_urban_0755,Open Tech,3148,831,5,1,1,3.85,True,1.06,26.41,0.09,tech,55,52.0
@crypto_nova_0756,Insider Coins,3070,155,5,0,1,0.51,False,5.04,5.06,0.3,crypto,42.53,34.9
@politics_smart_0757,Daily Debate,8613,2804,76,20,27,1.36,True,4.25,32.57,0.085,politics,82,77.8
@crypto_core_0758,Global Crypto,222,3,0,0,0,1.92,False,2.98,1.48,0.462,crypto,37.74,27.3
@news_peak_0759,Quiet News,2764,1105,7,0,1,1.98,False,0.96,39.99,0.038,news,50,48.9
@health_insider_0760,Daily Care,459,141,3,0,0,0.68,False,3.88,30.87,0.041,health,52,50.7
@business_insider_0761,Peak Capital,61748,17234,248,0,73,0.2,False,1.97,27.91,0.068,business,47,45.1
@tech_insider_0762,Alpha AI,1641,455,6,2,1,1.14,True,1.92,27.77,0.067,tech,60,57.6
@news_neon_0763,Global Digest,4978,1541,38,14,14,1.44,True,4.19,30.96,0.009,news,80,79.5
@business_quiet_0764,Quiet Capital,8258,1654,6,1,1,0.01,True,0.69,20.03,0.003,business,42,41.9
@lifestyle_neon_0765,Nova Travel,1640,502,12,3,3,1.77,True,3.53,30.62,0.052,lifestyle,70,67.8
@sports_bright_0766,Vivid Match,7524,1946,40,6,15,2.04,True,3.58,25.87,0.092,sports,72,68.0
@news_open_0767,Global Report,1435,506,21,4,8,2.74,True,7.37,35.28,0.061,news,75,72.2
@crypto_open_0768,Core Chain,661,121,0,0,0,1.55,True,0.53,18.41,0.049,crypto,37,35.9
@gaming_core_0769,Insider Quest,1441,378,9,0,2,1.7,False,3.9,26.29,0.107,gaming,55,51.5
@business_daily_0770,Quiet Money,683,347,13,2,4,2.79,True,6.08,50.82,0.115,business,77,71.7
@crypto_neon_0771,Bright Coins,10307,1390,19,6,5,1.68,True,2.37,13.49,0.023,crypto,70,69.0
@lifestyle_insider_0772,Nova Home,455,147,1,0,0,33.2,True,2.0,32.43,0.094,lifestyle,42,39.6
@news_core_0773,Open Wire,850,258,8,1,1,2.21,True,4.82,30.44,0.031,news,67,65.8
@music_daily_0774,Daily Tracks,1119,161,5,0,1,0.2,False,4.35,14.4,0.115,music,40,37.3
@business_nova_0775,Open Capital,22909,7400,131,0,25,23.1,False,2.56,32.3,0.0,business,50,50.0
@music_quiet_0776,Prime Beats,6777,1694,3,0,1,0.2,False,0.32,25.0,0.036,music,33.4,32.7
@business_global_0777,Daily Ventures,27785,6481,121,31,30,2.8,True,2.73,23.33,0.11,business,80,74.7
@sports_nova_0778,Smart Arena,11042,4255,79,30,16,0.09,True,3.4,38.54,0.082,sports,70,66.6
@news_nova_0779,Smart Report,8676,3197,27,8,6,2.67,True,1.2,36.86,0.102,news,72,67.6
@gaming_insider_0780,Nova Games,7172,1599,26,6,5,1.82,True,2.62,22.31,0.049,gaming,72,69.9
@news_smart_0781,Bright Report,5330,1675,15,5,4,0.2,True,1.55,31.43,0.092,news,57,53.9
@gaming_nova_0782,Insider Arena,3584,598,4,0,1,1.16,False,1.15,16.69,0.091,gaming,45,42.5
@lifestyle_peak_0783,Core Travel,5689,1342,25,0,7,4.37,False,2.59,23.6,0.065,lifestyle,52,50.0
